,City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
0,Rikitea,PF,100,1570568400,83,-23.1203,-134.9692,67.14,10.45
1,Kaitangata,NZ,100,1570568400,97,-46.2818,169.8464,49.96,2.79
2,Omboue,GA,90,1570568400,95,-1.5747,9.2618,75.02,2.72
3,Butaritari,KI,33,1570568400,66,3.0707,172.7902,85.34,12.8
4,Arraial do Cabo,BR,100,1570568400,93,-22.9663,-42.0245,75.06,3.4
5,Tiksi,RU,100,1570568400,87,71.6366,128.8685,25.32,14.18
6,Puerto Ayora,EC,3,1570568400,70,-0.7394,-90.3518,73.29,19.91
7,Yulara,AU,0,1570568400,35,-25.2411,130.9869,56.61,11.38
8,Zyryanka,RU,100,1570568400,69,65.7336,150.8933,17.31,4.32
9,Provideniya,RU,100,1570568400,99,64.4238,-173.2276,34.14,3.27
10,Flums,CH,41,1570568400,79,47.094,9.3436,53.91,7.28
11,Muddebihal,IN,84,1570568400,84,16.3333,76.1333,75.0,7.27
12,Cayenne,GF,61,1570568400,74,4.9371,-52.3259,81.89,7.7
13,Kropotkin,RU,100,1570568400,88,45.4344,40.575,48.02,5.41
14,Champasak,LA,57,1570568400,90,14.8873,105.8766,70.72,1.88
15,Ahipara,NZ,88,1570568400,79,-35.1665,173.1562,59.85,11.14
16,Ushuaia,AR,100,1570568400,98,-54.807,-68.3074,39.78,6.69
17,Pevek,RU,100,1570568400,80,69.7028,170.2747,30.94,17.38
18,Iskateley,RU,3,1570568400,87,67.6803,53.1512,32.52,16.77
19,Poli,CM,100,1570568400,92,8.4761,13.2409,72.5,1.21
20,Nguruka,TZ,100,1570568400,47,-5.1113,31.0443,77.47,2.9
21,Saint-Philippe,CA,0,1570568400,46,45.3584,-73.4791,61.77,5.21
22,Alofi,NU,75,1570568400,76,-19.0596,-169.9187,75.52,16.11
23,Lagoa,PT,0,1570568400,77,37.1363,-8.4541,70.7,7.27
24,Anadyr,RU,97,1570568400,85,64.7317,177.5061,33.44,21.88
25,Dandong,CN,0,1570568400,41,40.1193,124.3687,43.63,2.1
26,Kudahuvadhoo,MV,66,1570568400,81,2.6708,72.8944,80.76,12.75
27,Thompson,CA,100,1570568400,84,55.7433,-97.8635,36.32,14.81
28,Albany,US,97,1570568400,60,42.6512,-73.755,58.85,6.58
29,Bukachacha,RU,100,1570568400,84,52.9884,116.9117,38.55,8.89
30,Hilo,US,71,1570568400,60,19.7072,-155.0817,79.59,7.41
31,Port-Gentil,GA,97,1570568400,85,-0.7194,8.7815,79.3,13.22
32,Beni,CD,100,1570568400,99,0.4939,29.4653,65.3,1.77
33,Portobelo,PA,48,1570568400,70,9.55,-79.6501,86.76,5.82
34,Jamestown,AU,0,1570568400,86,-33.2075,138.6035,38.91,6.8
35,Nixa,US,0,1570568400,40,37.0434,-93.2944,71.67,7.63
36,Mataura,NZ,100,1570568400,99,-46.1928,168.8643,50.86,2.96
37,Vaini,IN,100,1570568400,93,15.336,74.4926,69.37,0.46
38,Djambala,CG,3,1570568400,81,-2.5464,14.7558,70.58,1.29
39,Waddan,LY,62,1570568400,71,29.1615,16.1414,64.62,2.24
40,Bull Savanna,JM,100,1570568400,70,17.8868,-77.5903,85.19,19.64
41,Kodiak,US,0,1570568400,54,39.9519,-94.7572,71.26,15.75
42,Ancud,CL,100,1570568400,87,-41.8682,-73.8288,53.96,5.7
43,Makakilo City,US,49,1570568400,56,21.3469,-158.0859,86.95,2.79
44,Nuevo Progreso,US,36,1570568400,56,26.0544,-97.9519,87.84,11.14
45,Shakawe,BW,0,1570568400,14,-18.3633,21.8398,73.98,6.67
46,Khotyn,UA,71,1570568400,68,48.5068,26.4859,42.32,7.52
47,Hermanus,ZA,88,1570568400,72,-34.4176,19.2361,60.55,19.92
48,Fairbanks,US,100,1570568400,93,64.8378,-147.7167,33.48,3.15
49,Busselton,AU,100,1570568400,78,-33.6445,115.3489,62.03,16.6
50,Pilar,AR,0,1570568400,59,-34.4571,-58.9142,72.66,5.17
51,Muros,ES,0,1570568400,75,42.7744,-9.0576,62.95,12.73
52,Guerrero Negro,MX,0,1570568400,80,27.971,-114.0364,70.45,13.94
53,Saint-Pierre,FR,49,1570568400,95,48.9455,4.2446,52.48,10.78
54,Lishui,CN,86,1570568400,86,28.4531,119.9095,60.87,1.98
55,Lebu,ET,100,1570568400,90,8.9611,38.7254,58.42,3.31
56,Lakes Entrance,AU,0,1570568400,81,-37.8795,147.9944,47.73,15.8
57,Severo-Kurilsk,RU,44,1570568400,87,50.6789,156.125,45.7,30.27
58,Tawang,BT,94,1570568400,93,27.5949,91.8704,36.5,3.56
59,Port Elizabeth,US,100,1570568400,61,39.3134,-74.9811,63.36,12.19
60,Hobart,AU,40,1570568400,87,-42.8826,147.3281,49.05,2.13
61,Atuona,PF,0,1570568400,73,-9.8,-139.0334,79.16,13.91
62,Qaanaaq,GL,93,1570568400,65,77.484,-69.3633,19.89,12.57
63,Labuhan,ID,12,1570568400,84,-2.5409,115.5092,71.74,1.12
64,Homer,US,100,1570568400,77,59.6441,-151.5402,47.49,10.16
65,Giresun,TR,100,1570568400,83,40.9149,38.3879,68.38,5.59
66,Cabo San Lucas,MX,1,1570568400,55,22.8938,-109.9112,89.74,5.69
67,Faanui,PF,56,1570568400,84,-16.4834,-151.75,77.41,20.76
68,Chalus,IR,2,1570568400,84,36.6599,51.4206,72.51,6.24
69,Hami,CN,32,1570568400,23,42.8354,93.5128,56.14,5.32
70,Owando,CG,18,1570568400,84,-0.491,15.9079,73.67,0.67
71,Seymchan,RU,5,1570568400,93,62.9318,152.3933,4.6,2.59
72,Pitsunda,GE,100,1570568400,90,43.1598,40.3372,59.65,3.51
73,East London,ZA,0,1570568400,72,-33.0153,27.9116,65.46,14.6
74,New Norfolk,AU,40,1570568400,87,-42.7802,147.0615,49.05,2.13
75,Maldonado,UY,0,1570568400,63,-34.9088,-54.9583,70.39,7.4
76,Kapaa,US,22,1570568400,56,22.0752,-159.319,87.55,3.89
77,Oistins,BB,100,1570568400,75,13.0667,-59.5334,86.04,18.98
78,Mount Gambier,AU,100,1570568400,69,-37.8302,140.7843,51.99,7.67
